"player","ally_code","name","base_id","alignment","role","gear_level","power","stars","level","Affiliation1","Affiliation2","Affiliation3","Affiliation4","zeta_1","zeta_2","zeta_3"
"Sarith LeKit",145177637,"Ahsoka Tano","AHSOKATANO","Light Side","Attacker",10,14248,7,85,"Galactic Republic","Jedi",NA,NA,NA,NA,NA
"Apathy",173129783,"Ahsoka Tano","AHSOKATANO","Light Side","Attacker",10,14416,7,85,"Galactic Republic","Jedi",NA,NA,NA,NA,NA
"Adam",641878415,"Ahsoka Tano","AHSOKATANO","Light Side","Attacker",10,14245,7,85,"Galactic Republic","Jedi",NA,NA,NA,NA,NA
"Mhann Uhdea",453922222,"Ahsoka Tano","AHSOKATANO","Light Side","Attacker",10,14080,7,85,"Galactic Republic","Jedi",NA,NA,NA,NA,NA
"Kems",588232271,"Ahsoka Tano","AHSOKATANO","Light Side","Attacker",10,14724,7,85,"Galactic Republic","Jedi",NA,NA,NA,NA,NA
"NostraDazmous",126741569,"Ahsoka Tano","AHSOKATANO","Light Side","Attacker",8,11956,7,85,"Galactic Republic","Jedi",NA,NA,NA,NA,NA
"kallah",742876214,"Ahsoka Tano","AHSOKATANO","Light Side","Attacker",10,15114,7,85,"Galactic Republic","Jedi",NA,NA,NA,NA,NA
"AsahiSuperdry",469719352,"Ahsoka Tano","AHSOKATANO","Light Side","Attacker",10,14179,7,85,"Galactic Republic","Jedi",NA,NA,NA,NA,NA
"DarthHelmet",627172986,"Ahsoka Tano","AHSOKATANO","Light Side","Attacker",8,12856,7,85,"Galactic Republic","Jedi",NA,NA,NA,NA,NA
"DJ Harr0w",693446368,"Ahsoka Tano","AHSOKATANO","Light Side","Attacker",6,7035,7,50,"Galactic Republic","Jedi",NA,NA,NA,NA,NA
"Martyvu",414326312,"Ahsoka Tano","AHSOKATANO","Light Side","Attacker",10,13648,7,85,"Galactic Republic","Jedi",NA,NA,NA,NA,NA
"Lexicon",755564748,"Ahsoka Tano","AHSOKATANO","Light Side","Attacker",10,15054,7,85,"Galactic Republic","Jedi",NA,NA,NA,NA,NA
"Zordo",347361694,"Ahsoka Tano","AHSOKATANO","Light Side","Attacker",10,14457,7,85,"Galactic Republic","Jedi",NA,NA,NA,NA,NA
"Cyrus Sophus",397523631,"Ahsoka Tano","AHSOKATANO","Light Side","Attacker",10,13641,7,85,"Galactic Republic","Jedi",NA,NA,NA,NA,NA
"Rufuska",517585818,"Ahsoka Tano","AHSOKATANO","Light Side","Attacker",10,13452,7,85,"Galactic Republic","Jedi",NA,NA,NA,NA,NA
"Wes Biriuk",625985749,"Ahsoka Tano","AHSOKATANO","Light Side","Attacker",8,10984,7,80,"Galactic Republic","Jedi",NA,NA,NA,NA,NA
"lisalala",274949228,"Ahsoka Tano","AHSOKATANO","Light Side","Attacker",10,15021,7,85,"Galactic Republic","Jedi",NA,NA,NA,NA,NA
"RogueSparrow",261839383,"Ahsoka Tano","AHSOKATANO","Light Side","Attacker",8,13554,7,85,"Galactic Republic","Jedi",NA,NA,NA,NA,NA
"Bullet",647171153,"Ahsoka Tano","AHSOKATANO","Light Side","Attacker",7,8686,6,80,"Galactic Republic","Jedi",NA,NA,NA,NA,NA
"Smartinsk",867856267,"Ahsoka Tano","AHSOKATANO","Light Side","Attacker",8,12387,7,80,"Galactic Republic","Jedi",NA,NA,NA,NA,NA
"Scrubz",653454484,"Ahsoka Tano","AHSOKATANO","Light Side","Attacker",10,15369,7,85,"Galactic Republic","Jedi",NA,NA,NA,NA,NA
"GrandmasterHardy",589629316,"Ahsoka Tano","AHSOKATANO","Light Side","Attacker",11,16128,7,85,"Galactic Republic","Jedi",NA,NA,NA,NA,NA
"Rac00n",911198655,"Ahsoka Tano","AHSOKATANO","Light Side","Attacker",10,14121,7,85,"Galactic Republic","Jedi",NA,NA,NA,NA,NA
"Blaine",163941995,"Ahsoka Tano","AHSOKATANO","Light Side","Attacker",8,9730,7,71,"Galactic Republic","Jedi",NA,NA,NA,NA,NA
"Code",853781739,"Ahsoka Tano (Fulcrum)","FULCRUMAHSOKA","Light Side","Attacker",12,17613,7,85,"Rebel",NA,NA,NA,NA,NA,NA
"btrie",962472279,"Ahsoka Tano (Fulcrum)","FULCRUMAHSOKA","Light Side","Attacker",12,14889,7,85,"Rebel",NA,NA,NA,NA,NA,NA
"Drewish",266161177,"Ahsoka Tano (Fulcrum)","FULCRUMAHSOKA","Light Side","Attacker",8,13680,7,85,"Rebel",NA,NA,NA,NA,NA,NA
"D'Artagnan",244782846,"Ahsoka Tano (Fulcrum)","FULCRUMAHSOKA","Light Side","Attacker",8,13240,7,85,"Rebel",NA,NA,NA,NA,NA,NA
"Peps",912783323,"Ahsoka Tano (Fulcrum)","FULCRUMAHSOKA","Light Side","Attacker",12,20385,7,85,"Rebel",NA,NA,NA,"specialskill_FULCRUMAHSOKA02",NA,NA
"YimYames",663748144,"Ahsoka Tano (Fulcrum)","FULCRUMAHSOKA","Light Side","Attacker",6,3754,4,65,"Rebel",NA,NA,NA,NA,NA,NA
"Kelsier",866766384,"Ahsoka Tano (Fulcrum)","FULCRUMAHSOKA","Light Side","Attacker",11,15976,7,85,"Rebel",NA,NA,NA,NA,NA,NA
"Oberon",298518446,"Ahsoka Tano (Fulcrum)","FULCRUMAHSOKA","Light Side","Attacker",12,17488,7,85,"Rebel",NA,NA,NA,NA,NA,NA
"boogstien",569715162,"Ahsoka Tano (Fulcrum)","FULCRUMAHSOKA","Light Side","Attacker",11,18337,7,85,"Rebel",NA,NA,NA,"specialskill_FULCRUMAHSOKA02",NA,NA
"doctorx",284629595,"Ahsoka Tano (Fulcrum)","FULCRUMAHSOKA","Light Side","Attacker",7,11641,7,85,"Rebel",NA,NA,NA,NA,NA,NA
"Tez",613277982,"Ahsoka Tano (Fulcrum)","FULCRUMAHSOKA","Light Side","Attacker",7,9807,7,85,"Rebel",NA,NA,NA,NA,NA,NA
"Sarith LeKit",145177637,"Ahsoka Tano (Fulcrum)","FULCRUMAHSOKA","Light Side","Attacker",9,14818,7,85,"Rebel",NA,NA,NA,NA,NA,NA
"Apathy",173129783,"Ahsoka Tano (Fulcrum)","FULCRUMAHSOKA","Light Side","Attacker",5,3276,5,40,"Rebel",NA,NA,NA,NA,NA,NA
"Adam",641878415,"Ahsoka Tano (Fulcrum)","FULCRUMAHSOKA","Light Side","Attacker",6,3507,3,53,"Rebel",NA,NA,NA,NA,NA,NA
"Mhann Uhdea",453922222,"Ahsoka Tano (Fulcrum)","FULCRUMAHSOKA","Light Side","Attacker",1,2661,6,1,"Rebel",NA,NA,NA,NA,NA,NA
"Kems",588232271,"Ahsoka Tano (Fulcrum)","FULCRUMAHSOKA","Light Side","Attacker",9,14074,7,85,"Rebel",NA,NA,NA,NA,NA,NA
"NostraDazmous",126741569,"Ahsoka Tano (Fulcrum)","FULCRUMAHSOKA","Light Side","Attacker",9,14631,7,85,"Rebel",NA,NA,NA,NA,NA,NA
"kallah",742876214,"Ahsoka Tano (Fulcrum)","FULCRUMAHSOKA","Light Side","Attacker",1,1341,4,50,"Rebel",NA,NA,NA,NA,NA,NA
"AsahiSuperdry",469719352,"Ahsoka Tano (Fulcrum)","FULCRUMAHSOKA","Light Side","Attacker",10,17496,7,85,"Rebel",NA,NA,NA,"specialskill_FULCRUMAHSOKA02",NA,NA
"DarthHelmet",627172986,"Ahsoka Tano (Fulcrum)","FULCRUMAHSOKA","Light Side","Attacker",7,12138,7,85,"Rebel",NA,NA,NA,NA,NA,NA
"DJ Harr0w",693446368,"Ahsoka Tano (Fulcrum)","FULCRUMAHSOKA","Light Side","Attacker",3,2083,5,20,"Rebel",NA,NA,NA,NA,NA,NA
"Martyvu",414326312,"Ahsoka Tano (Fulcrum)","FULCRUMAHSOKA","Light Side","Attacker",8,12907,7,85,"Rebel",NA,NA,NA,NA,NA,NA
"Lexicon",755564748,"Ahsoka Tano (Fulcrum)","FULCRUMAHSOKA","Light Side","Attacker",8,13372,7,85,"Rebel",NA,NA,NA,NA,NA,NA
"Zordo",347361694,"Ahsoka Tano (Fulcrum)","FULCRUMAHSOKA","Light Side","Attacker",8,13546,7,85,"Rebel",NA,NA,NA,NA,NA,NA
"Cyrus Sophus",397523631,"Ahsoka Tano (Fulcrum)","FULCRUMAHSOKA","Light Side","Attacker",8,13743,7,85,"Rebel",NA,NA,NA,NA,NA,NA
"Rufuska",517585818,"Ahsoka Tano (Fulcrum)","FULCRUMAHSOKA","Light Side","Attacker",12,16717,7,85,"Rebel",NA,NA,NA,NA,NA,NA
"Wes Biriuk",625985749,"Ahsoka Tano (Fulcrum)","FULCRUMAHSOKA","Light Side","Attacker",8,8491,5,80,"Rebel",NA,NA,NA,NA,NA,NA
"lisalala",274949228,"Ahsoka Tano (Fulcrum)","FULCRUMAHSOKA","Light Side","Attacker",12,19434,7,85,"Rebel",NA,NA,NA,"specialskill_FULCRUMAHSOKA02",NA,NA
"RogueSparrow",261839383,"Ahsoka Tano (Fulcrum)","FULCRUMAHSOKA","Light Side","Attacker",7,12385,7,85,"Rebel",NA,NA,NA,NA,NA,NA
"Bullet",647171153,"Ahsoka Tano (Fulcrum)","FULCRUMAHSOKA","Light Side","Attacker",4,2410,4,50,"Rebel",NA,NA,NA,NA,NA,NA
"Smartinsk",867856267,"Ahsoka Tano (Fulcrum)","FULCRUMAHSOKA","Light Side","Attacker",1,2661,6,1,"Rebel",NA,NA,NA,NA,NA,NA
"Scrubz",653454484,"Ahsoka Tano (Fulcrum)","FULCRUMAHSOKA","Light Side","Attacker",1,1014,4,1,"Rebel",NA,NA,NA,NA,NA,NA
"GrandmasterHardy",589629316,"Ahsoka Tano (Fulcrum)","FULCRUMAHSOKA","Light Side","Attacker",8,13404,7,85,"Rebel",NA,NA,NA,NA,NA,NA
"Rac00n",911198655,"Ahsoka Tano (Fulcrum)","FULCRUMAHSOKA","Light Side","Attacker",9,14487,7,85,"Rebel",NA,NA,NA,NA,NA,NA
"Blaine",163941995,"Ahsoka Tano (Fulcrum)","FULCRUMAHSOKA","Light Side","Attacker",7,10102,6,85,"Rebel",NA,NA,NA,NA,NA,NA
"Code",853781739,"Amilyn Holdo","AMILYNHOLDO","Light Side","Tank",4,3697,4,51,"Resistance",NA,NA,NA,NA,NA,NA
"btrie",962472279,"Amilyn Holdo","AMILYNHOLDO","Light Side","Tank",6,4972,6,55,"Resistance",NA,NA,NA,NA,NA,NA
"Drewish",266161177,"Amilyn Holdo","AMILYNHOLDO","Light Side","Tank",7,4884,4,70,"Resistance",NA,NA,NA,NA,NA,NA
"D'Artagnan",244782846,"Amilyn Holdo","AMILYNHOLDO","Light Side","Tank",8,10689,5,85,"Resistance",NA,NA,NA,NA,NA,NA
"Peps",912783323,"Amilyn Holdo","AMILYNHOLDO","Light Side","Tank",8,10288,6,77,"Resistance",NA,NA,NA,NA,NA,NA
"YimYames",663748144,"Amilyn Holdo","AMILYNHOLDO","Light Side","Tank",1,676,3,1,"Resistance",NA,NA,NA,NA,NA,NA
"Kelsier",866766384,"Amilyn Holdo","AMILYNHOLDO","Light Side","Tank",5,4150,3,85,"Resistance",NA,NA,NA,NA,NA,NA
"Oberon",298518446,"Amilyn Holdo","AMILYNHOLDO","Light Side","Tank",1,2661,6,1,"Resistance",NA,NA,NA,NA,NA,NA
"boogstien",569715162,"Amilyn Holdo","AMILYNHOLDO","Light Side","Tank",8,7476,5,70,"Resistance",NA,NA,NA,NA,NA,NA
"doctorx",284629595,"Amilyn Holdo","AMILYNHOLDO","Light Side","Tank",7,8242,4,85,"Resistance",NA,NA,NA,NA,NA,NA
"Tez",613277982,"Amilyn Holdo","AMILYNHOLDO","Light Side","Tank",4,7879,6,85,"Resistance",NA,NA,NA,NA,NA,NA
"Sarith LeKit",145177637,"Amilyn Holdo","AMILYNHOLDO","Light Side","Tank",1,676,3,1,"Resistance",NA,NA,NA,NA,NA,NA
"Apathy",173129783,"Amilyn Holdo","AMILYNHOLDO","Light Side","Tank",1,859,3,35,"Resistance",NA,NA,NA,NA,NA,NA
"Adam",641878415,"Amilyn Holdo","AMILYNHOLDO","Light Side","Tank",1,676,3,1,"Resistance",NA,NA,NA,NA,NA,NA
"Mhann Uhdea",453922222,"Amilyn Holdo","AMILYNHOLDO","Light Side","Tank",1,2661,6,1,"Resistance",NA,NA,NA,NA,NA,NA
"Kems",588232271,"Amilyn Holdo","AMILYNHOLDO","Light Side","Tank",1,676,3,1,"Resistance",NA,NA,NA,NA,NA,NA
"NostraDazmous",126741569,"Amilyn Holdo","AMILYNHOLDO","Light Side","Tank",8,8193,4,85,"Resistance",NA,NA,NA,NA,NA,NA
"kallah",742876214,"Amilyn Holdo","AMILYNHOLDO","Light Side","Tank",1,1014,4,1,"Resistance",NA,NA,NA,NA,NA,NA
"AsahiSuperdry",469719352,"Amilyn Holdo","AMILYNHOLDO","Light Side","Tank",1,1245,3,50,"Resistance",NA,NA,NA,NA,NA,NA
"DarthHelmet",627172986,"Amilyn Holdo","AMILYNHOLDO","Light Side","Tank",1,1014,4,1,"Resistance",NA,NA,NA,NA,NA,NA
"DJ Harr0w",693446368,"Amilyn Holdo","AMILYNHOLDO","Light Side","Tank",1,1014,4,1,"Resistance",NA,NA,NA,NA,NA,NA
"Martyvu",414326312,"Amilyn Holdo","AMILYNHOLDO","Light Side","Tank",1,1014,4,1,"Resistance",NA,NA,NA,NA,NA,NA
"Lexicon",755564748,"Amilyn Holdo","AMILYNHOLDO","Light Side","Tank",8,13539,7,85,"Resistance",NA,NA,NA,NA,NA,NA
"Zordo",347361694,"Amilyn Holdo","AMILYNHOLDO","Light Side","Tank",1,676,3,1,"Resistance",NA,NA,NA,NA,NA,NA
"Cyrus Sophus",397523631,"Amilyn Holdo","AMILYNHOLDO","Light Side","Tank",1,2661,6,1,"Resistance",NA,NA,NA,NA,NA,NA
"Rufuska",517585818,"Amilyn Holdo","AMILYNHOLDO","Light Side","Tank",7,6906,6,64,"Resistance",NA,NA,NA,NA,NA,NA
"Wes Biriuk",625985749,"Amilyn Holdo","AMILYNHOLDO","Light Side","Tank",5,2934,4,50,"Resistance",NA,NA,NA,NA,NA,NA
"lisalala",274949228,"Amilyn Holdo","AMILYNHOLDO","Light Side","Tank",1,1341,4,50,"Resistance",NA,NA,NA,NA,NA,NA
"RogueSparrow",261839383,"Amilyn Holdo","AMILYNHOLDO","Light Side","Tank",1,1521,5,1,"Resistance",NA,NA,NA,NA,NA,NA
"Bullet",647171153,"Amilyn Holdo","AMILYNHOLDO","Light Side","Tank",2,1696,4,50,"Resistance",NA,NA,NA,NA,NA,NA
"Smartinsk",867856267,"Amilyn Holdo","AMILYNHOLDO","Light Side","Tank",1,1014,4,1,"Resistance",NA,NA,NA,NA,NA,NA
"Scrubz",653454484,"Amilyn Holdo","AMILYNHOLDO","Light Side","Tank",1,1014,4,1,"Resistance",NA,NA,NA,NA,NA,NA
"GrandmasterHardy",589629316,"Amilyn Holdo","AMILYNHOLDO","Light Side","Tank",7,5691,4,85,"Resistance",NA,NA,NA,NA,NA,NA
"Rac00n",911198655,"Amilyn Holdo","AMILYNHOLDO","Light Side","Tank",1,1521,5,1,"Resistance",NA,NA,NA,NA,NA,NA
"Blaine",163941995,"Amilyn Holdo","AMILYNHOLDO","Light Side","Tank",1,1014,4,1,"Resistance",NA,NA,NA,NA,NA,NA
"Code",853781739,"Asajj Ventress","ASAJVENTRESS","Dark Side","Support",12,23319,7,85,"Nightsister","Separatist",NA,NA,"uniqueskill_ASAJVENTRESS01","leaderskill_ASAJVENTRESS",NA
"btrie",962472279,"Asajj Ventress","ASAJVENTRESS","Dark Side","Support",12,22851,7,85,"Nightsister","Separatist",NA,NA,"uniqueskill_ASAJVENTRESS01","leaderskill_ASAJVENTRESS",NA
"Drewish",266161177,"Asajj Ventress","ASAJVENTRESS","Dark Side","Support",12,22737,7,85,"Nightsister","Separatist",NA,NA,"uniqueskill_ASAJVENTRESS01","leaderskill_ASAJVENTRESS",NA
"D'Artagnan",244782846,"Asajj Ventress","ASAJVENTRESS","Dark Side","Support",12,23205,7,85,"Nightsister","Separatist",NA,NA,"uniqueskill_ASAJVENTRESS01","leaderskill_ASAJVENTRESS",NA
"Peps",912783323,"Asajj Ventress","ASAJVENTRESS","Dark Side","Support",12,22447,7,85,"Nightsister","Separatist",NA,NA,"uniqueskill_ASAJVENTRESS01","leaderskill_ASAJVENTRESS",NA
